Month,Petrol,Diesel
1/1/2000,16180,18630
2/1/2000,16250,18450
3/1/2000,16230,18550
4/1/2000,16200,18600
5/1/2000,16330,18630
6/1/2000,16330,18600
7/1/2000,16450,18600
8/1/2000,16250,18580
9/1/2000,16230,18650
10/1/2000,16280,18680
11/1/2000,16300,18750
12/1/2000,15850,18780
1/1/2001,15530,18650
2/1/2001,15850,18750
3/1/2001,15700,18780
4/1/2001,15430,18780
5/1/2001,15480,18680
6/1/2001,15000,18780
7/1/2001,15000,18900
8/1/2001,15130,19030
9/1/2001,15180,19050
10/1/2001,15150,19050
11/1/2001,14930,19100
12/1/2001,14830,18900
1/1/2002,14550,18750
2/1/2002,14180,18700
3/1/2002,13950,19080
4/1/2002,14050,19150
5/1/2002,13980,19080
6/1/2002,14500,18980
7/1/2002,15500,19250
8/1/2002,15050,19330
9/1/2002,14630,19480
10/1/2002,14000,19500
11/1/2002,14100,19480
12/1/2002,14100,19680
1/1/2003,14250,19730
2/1/2003,15000,19830
3/1/2003,14930,19880
4/1/2003,15480,20280
5/1/2003,15630,20400
6/1/2003,15830,20630
7/1/2003,15800,20550
8/1/2003,15380,20350
9/1/2003,15450,20330
10/1/2003,15700,20150
11/1/2003,15750,19580
12/1/2003,15600,19300
1/1/2004,15350,19780
2/1/2004,15000,19980
3/1/2004,14500,20200
4/1/2004,14850,20030
5/1/2004,15480,20950
6/1/2004,15400,20650
7/1/2004,15100,19800
8/1/2004,15130,19750
9/1/2004,14980,19650
10/1/2004,14800,19430
11/1/2004,14850,19450
12/1/2004,14750,19500
1/1/2005,14780,19400
2/1/2005,14850,19250
3/1/2005,15030,18850
4/1/2005,14800,18750
5/1/2005,14850,18500
6/1/2005,14630,18300
7/1/2005,14500,18100
8/1/2005,14480,17480
9/1/2005,14450,17550
10/1/2005,14400,18100
11/1/2005,14150,18280
12/1/2005,14000,18200
1/1/2006,13680,18630
2/1/2006,13350,18430
3/1/2006,13180,18400
4/1/2006,13300,18180
5/1/2006,13250,18130
6/1/2006,12700,17600
7/1/2006,13400,17680
8/1/2006,13900,17900
9/1/2006,13500,18300
10/1/2006,13230,18180
11/1/2006,12850,18150
12/1/2006,13150,18530
1/1/2007,13050,18530
2/1/2007,13200,18430
3/1/2007,13200,18300
4/1/2007,13100,18280
5/1/2007,12580,18480
6/1/2007,12750,18480
7/1/2007,12500,18680
8/1/2007,11930,18600
9/1/2007,11600,18650
10/1/2007,11650,18500
11/1/2007,11200,18480
12/1/2007,11300,18500
1/1/2008,11350,18650
2/1/2008,12200,18780
3/1/2008,12350,18600
4/1/2008,12450,18580
5/1/2008,12550,18630
6/1/2008,13200,18600
7/1/2008,13550,18550
8/1/2008,12900,18550
9/1/2008,13350,18680
10/1/2008,13500,18680
11/1/2008,13480,19000
12/1/2008,12200,19100
1/1/2009,12080,18780
2/1/2009,12080,18930
3/1/2009,12330,19130
4/1/2009,12600,18980
5/1/2009,12600,18750
6/1/2009,12180,18800
7/1/2009,12350,18850
8/1/2009,12500,18750
9/1/2009,12750,18800
10/1/2009,12750,18630
11/1/2009,12600,18380
12/1/2009,12700,17930
1/1/2010,13030,17850
2/1/2010,13030,17950
3/1/2010,13000,17500
4/1/2010,13000,17750
5/1/2010,12700,17800
6/1/2010,12050,17850
7/1/2010,12080,17800
8/1/2010,12130,17680
9/1/2010,13350,17400
10/1/2010,13330,17180
11/1/2010,12980,17480
12/1/2010,14700,17600
1/1/2011,14730,17900
2/1/2011,14250,17830
3/1/2011,14350,17680
4/1/2011,14930,17730
5/1/2011,14800,17780
6/1/2011,14730,17700
7/1/2011,14400,17650
8/1/2011,14700,17700
9/1/2011,15050,17930
10/1/2011,14900,18000
11/1/2011,15200,17780
12/1/2011,15180,17580
1/1/2012,15350,17430
2/1/2012,15580,17550
3/1/2012,15600,17730
4/1/2012,15300,16800
5/1/2012,15280,16200
6/1/2012,15330,15930
7/1/2012,15250,15030
8/1/2012,15380,15600
9/1/2012,16250,15400
10/1/2012,16100,16700
11/1/2012,15900,17250
12/1/2012,16230,17100
1/1/2013,16400,17000
2/1/2013,16530,17380
3/1/2013,16580,17850
4/1/2013,16850,17600
5/1/2013,17000,17950
6/1/2013,16750,17080
7/1/2013,16900,17900
8/1/2013,16850,18380
9/1/2013,17400,18150
10/1/2013,17500,17450
11/1/2013,17780,17880
12/1/2013,17950,18050
1/1/2014,18100,18150
2/1/2014,18150,18330
3/1/2014,16980,18600
4/1/2014,17050,18330
5/1/2014,17700,18580
6/1/2014,17730,18200
7/1/2014,17180,18950
8/1/2014,16850,18630
9/1/2014,16380,18600
10/1/2014,16400,18780
11/1/2014,16950,18600
12/1/2014,16750,18680
1/1/2015,16500,18650
2/1/2015,16600,18680
3/1/2015,16750,18600
4/1/2015,16580,19000
5/1/2015,16400,19100
6/1/2015,16500,19330
7/1/2015,16830,19120
8/1/2015,16750,19250
9/1/2015,17150,19180
10/1/2015,17150,19130
11/1/2015,17380,19350
12/1/2015,17200,18980
1/1/2016,16950,19050
2/1/2016,17100,18880
3/1/2016,17050,18830
4/1/2016,17550,18900
5/1/2016,17230,19230
6/1/2016,17250,18900
7/1/2016,17450,19980
8/1/2016,17730,19980
9/1/2016,17730,19730
10/1/2016,17550,19850
11/1/2016,17550,19480
12/1/2016,17800,19520
1/1/2017,17630,19500
2/1/2017,18100,19580
3/1/2017,18630,19530
4/1/2017,19080,19500
5/1/2017,18950,19480
6/1/2017,19300,19500
7/1/2017,19180,19600
8/1/2017,19630,19500
9/1/2017,19600,19730
10/1/2017,19930,19820
11/1/2017,19730,19800
12/1/2017,19450,19930
1/1/2018,20000,20030
2/1/2018,20450,20120
3/1/2018,19650,20230
4/1/2018,19900,20330
5/1/2018,19750,20450
6/1/2018,19380,20330
7/1/2018,19400,20410
8/1/2018,19600,20500
9/1/2018,19950,20550
10/1/2018,19850,20520
11/1/2018,19950,20650
12/1/2018,19630,20595
1/1/2019,19880,20575
2/1/2019,20200,20703
3/1/2019,20500,20811
4/1/2019,20550,20738
5/1/2019,20600,20846
6/1/2019,21200,20586
7/1/2019,21130,21028
8/1/2019,21050,21195
9/1/2019,20650,21078
10/1/2019,20150,21202
11/1/2019,21480,21307
12/1/2019,21430,21246
1/1/2020,21150,21225
2/1/2020,21300,21350
3/1/2020,21750,21483
4/1/2020,21830,21439
5/1/2020,21980,21570
6/1/2020,21950,21317
7/1/2020,22430,21839
8/1/2020,22130,22010
9/1/2020,22080,21892
10/1/2020,22600,22021
11/1/2020,22830,22107
12/1/2020,22600,22050
1/1/2021,22730,22029
2/1/2021,23000,22155
3/1/2021,22950,22318
4/1/2021,22650,22313
5/1/2021,22480,22472
6/1/2021,22250,22250
7/1/2021,22350,22400
